topic,label,family,total_tweets,peak_day,peak_tweets,peak_authors,peak_originals,peak_rt_fraction,peak_likes,peak_views,peak_retweets,peak_per_100k,baseline_per_100k,share_lift,spike_score,baseline_tweets,low_baseline,window_boundary_peak,language_adjusted_share_lift
#المولد_النبوي,#المولد_النبوي,Hashtag / unclassified,2372,2026-08-25,573,470,340,0.40663176265270506,13792,1071972,3380,2.67770072521295,0.5440959563623026,4.924296875468874,14.610525053670626,1793,False,False,
#duang𝐆o𝐑ound𝐂oncert,#duang𝐆o𝐑ound𝐂oncert,Hashtag / unclassified,2117,2026-08-17,528,502,63,0.8806818181818181,26230,280778,11540,2.416802489745983,0.48102435056174664,5.027452724978396,14.610321992994855,1583,False,True,
#オンゲキ,#オンゲキ,Hashtag / unclassified,1267,2026-08-22,335,280,22,0.9343283582089552,3625,143817,1143,1.4517359967387509,0.2549864211190539,5.698474697827252,14.604298544443935,836,False,False,
#gta6,#gta6,Hashtag / unclassified,25340,2026-08-27,4718,3258,2892,0.38702840186519716,546037,45836088,29682,20.055242458657105,6.06148724279591,3.3089010911180696,14.603820992670471,19846,False,False,
#dreamtoyou,#dreamtoyou,Hashtag / unclassified,1092,2026-08-18,312,126,181,0.4198717948717948,20375,4243061,2269,1.3764717218002416,0.23669556973429376,5.82094097297948,14.602552580285835,777,False,False,
#メカスマ,#メカスマ,Hashtag / unclassified,2601,2026-08-24,663,560,19,0.971342383107089,7484,671029,3622,2.7846882801878587,0.5875382321704584,4.741927083732928,14.591720224239918,1922,False,False,
#malaslenguasn,#malaslenguasn,Hashtag / unclassified,1287,2026-08-22,351,152,241,0.3133903133903134,19835,1541690,8186,1.5210726413591091,0.27145683588033254,5.608199451850917,14.58600336627475,890,False,False,
#ケンタが食べたい食べさせたい,#ケンタが食べたい食べさせたい,Hashtag / unclassified,1915,2026-09-09,485,433,89,0.8164948453608247,26845,5332850,73499,29.99785994648629,5.8588348790503195,5.123589520990921,14.581851958212352,1429,False,False,
#gloriaeterna,#gloriaeterna,Hashtag / unclassified,1934,2026-08-21,515,402,56,0.8912621359223301,31758,1002534,3342,2.094516799041484,0.41550685430494533,5.043905848107257,14.581794494927221,1356,False,False,
#permpoon,#permpoon,Hashtag / unclassified,33700,2026-09-01,599,362,65,0.8914858096828047,23427,500986,16083,12.530885285079734,2.5816046161351793,4.853535902120259,14.578834021259487,548,False,True,
#櫻井翔,#櫻井翔,Hashtag / unclassified,3210,2026-08-24,729,477,120,0.8353909465020576,47734,1229838,7398,3.0618970682608584,0.6615154705602873,4.630714424408975,14.57876943904874,2164,False,False,
#マルシィ,#マルシィ,Hashtag / unclassified,1010,2026-08-17,282,247,24,0.9148936170212766,20464,1217364,4105,1.2907922388416047,0.21574686601316495,5.989291370557809,14.578719188219466,710,False,True,
#warwanarat,#warwanarat,Hashtag / unclassified,9019,2026-08-28,2084,400,300,0.8560460652591171,26202,474619,25047,7.578867498994091,2.020783492326008,3.7510726648409847,14.576610819818962,6536,False,False,
#kataraweek2026,#kataraweek2026,Hashtag / unclassified,4511,2026-08-18,1027,452,34,0.9668938656280428,29767,324431,6069,4.530886084259128,1.0567528074752446,4.289024332654331,14.568782464927624,3469,False,False,
#安済知佳,#安済知佳,Hashtag / unclassified,2128,2026-08-24,513,511,3,0.9941520467836258,6956,517074,5572,2.1546683072946777,0.4276618037494648,5.041361471585648,14.568184308942563,1399,False,False,
#tjpを探せ,#tjpを探せ,Hashtag / unclassified,1129,2026-08-28,342,314,54,0.8421052631578947,20851,924529,4401,1.2437488889903932,0.22075266424736384,5.638416924984879,14.566831341272598,714,False,False,
#티파니영,#티파니영,Hashtag / unclassified,1529,2026-08-20,396,211,66,0.8333333333333334,7957,238086,5299,1.6759860945634524,0.31041048070924737,5.403415301659872,14.564132393100355,1016,False,False,
#wafawafa,#wafawafa,Hashtag / unclassified,1317,2026-08-29,367,255,127,0.6539509536784741,11428,559753,1474,1.5980389493037601,0.28965996051922543,5.521558003684781,14.563869947254753,950,False,False,
#cxm,#cxm,Hashtag / unclassified,1749,2026-08-25,438,293,10,0.9771689497716896,34560,1893887,7779,2.0468288266025687,0.38994049298692635,5.2530278492057,14.56111510381592,1285,False,False,
#sekainoowari,#sekainoowari,Hashtag / unclassified,1200,2026-08-17,321,226,147,0.5420560747663552,17658,883690,1174,1.469306059106933,0.25616141978746204,5.741388854019317,14.559952939240945,843,False,True,
#ゲームウマ娘,#ゲームウマ娘,Hashtag / unclassified,11882,2026-08-21,2512,2495,25,0.990047770700637,53483,4919866,19438,10.21636155182953,2.816008842966407,3.6284824825556448,14.557411174863855,9190,False,False,
#primevideo,#primevideo,Hashtag / unclassified,2196,2026-08-18,529,329,38,0.9281663516068053,59519,1721878,10039,2.3338254513856658,0.46760321691395224,4.994128527541046,14.55453592535641,1535,False,False,
#都敬秀,#都敬秀,Hashtag / unclassified,1936,2026-08-17,475,291,36,0.9242105263157895,19338,458925,7980,2.174206785282845,0.4242008802174342,5.128975833212663,14.542190899921511,1396,False,True,
#xnghan_xoul,#xnghan_xoul,Hashtag / unclassified,1345,2026-08-21,339,265,6,0.9823008849557522,19499,306815,5546,1.3787207667476953,0.24483036621655702,5.636109345897125,14.541468309877411,799,False,False,
#billsmafia,#billsmafia,Hashtag / unclassified,6415,2026-09-13,215,134,166,0.22790697674418603,24528,1330580,1445,17.06920889377236,2.6224639127347453,6.518953773305835,14.53819538429226,649,False,False,
#幻想風鈴祭2026,#幻想風鈴祭2026,Hashtag / unclassified,1420,2026-08-22,390,216,160,0.5897435897435898,3962,100900,280,1.6900807126212325,0.312632872783529,5.410251057317218,14.537954397944636,1025,False,False,
#farcille,#farcille,Hashtag / unclassified,1045,2026-08-26,297,295,2,0.9932659932659933,42431,376543,6035,1.1794917597806576,0.20137766883737057,5.862504860677694,14.536232099363243,656,False,False,
